intention_likelihood_1,AC_Qs_1,AC_Qs_2,AC_Qs_3,AC_Qs_4,AC_Qs_5,AC_Qs_6,AC_Qs_7,AC_Qs_8,AC_Qs_9,AC_Qs_10,AC_Qs_11,AC_Qs_12,AC_Qs_13,AC_Qs_14,AC_Qs_15,AC_Qs_16,AC_Qs_17,AC_Qs_18,AC_Qs_19,AC_Qs_20,AC_Qs_21,AC_Qs_22,AC_Qs_23,AC_Qs_24,sex_history,sex_active,sex_partnernum,relationship_status,rela_exclusive,age,study_content,Condition,CTA
8,8,8,7,7,8,8,9,8,8,8,9,9,5,9,7,8,9,6,8,9,9,9,8,5,1,1,2,2,1,23,Studying thoughts on the HPV vaccine.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
70,8,8,7,8,9,9,8,8,8,8,9,9,8,9,9,9,9,8,8,8,9,9,8,9,1,1,1,2,1,22,"How effective vaccines are, and how likely you would take it?",Control,Get vaccinated against HPV today.
36,6,7,7,8,8,8,8,8,8,8,8,8,6,7,8,8,8,7,8,7,9,8,8,7,1,1,3,1,,26,getting people informed on the hpv vaccine ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
40,5,2,7,6,4,2,5,4,2,5,1,4,6,2,4,2,5,5,5,5,4,5,5,5,1,1,1,6,1,26,Vaccine ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
25,5,6,7,5,8,8,6,5,7,6,8,6,2,5,4,7,7,4,6,7,6,2,8,5,2,2,,1,,18,I think the study is about the likeliness of people taking the HPV vaccine if they are afraid of it's consequences or are scared of vaccines in general and whether they will be likely to take one if they heard what good they do.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
0,10,10,8,5,9,7,7,10,6,8,9,10,2,9,7,8,9,9,9,10,7,1,6,4,2,2,,2,1,18,about how different people have different views on hpv vaccines,Control,Get vaccinated against HPV today.
0,10,9,9,9,9,10,1,10,10,10,10,10,8,9,10,10,10,7,10,7,10,4,10,10,1,1,4,1,,23,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,7,8,6,5,8,10,9,8,10,5,6,2,1,4,8,7,9,5,8,6,7,2,5,4,2,2,,2,1,24,HPV vaccine acceptance,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
100,6,2,8,9,4,9,7,2,2,4,8,8,9,9,8,6,10,8,7,10,7,4,9,9,3,2,,1,,20,I assume it was about my thoughts on an HPV vaccine.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
14,8,9,6,4,9,8,9,7,4,5,9,8,4,6,8,8,5,4,5,5,7,1,6,2,1,1,1,2,1,26,Vaccine perception,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,7,6,6,4,9,9,10,10,8,8,6,10,1,10,10,10,6,8,10,10,6,2,9,6,3,2,,1,,22,Hpv and its vaccines,Both,Protect yourself and your partner. Get vaccinated against HPV today.
40,5,7,7,5,10,7,7,7,10,10,10,4,4,10,5,9,10,2,4,10,10,5,2,2,2,2,,1,,24,Vaccine attitude. ,Control,Get vaccinated against HPV today.
30,7,8,7,5,7,8,7,8,7,8,7,6,4,6,8,7,8,4,8,8,6,5,7,4,1,1,2,2,1,22,HPV vaccine,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
51,4,8,10,6,8,9,10,2,9,6,9,10,1,8,9,10,9,4,7,7,8,2,6,8,2,2,,1,,23,It is about the job vaccination and if you think it’s effective ,Control,Get vaccinated against HPV today.
1,9,9,8,9,10,8,10,10,10,10,10,9,5,8,6,6,9,7,9,10,10,8,8,4,1,2,2,1,,21,HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
20,9,10,10,6,10,9,8,9,9,9,10,10,1,10,8,10,10,6,9,9,8,5,9,2,2,2,,1,,24,Likeliness of people to get a vaccine. ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
70,8,8,7,2,8,9,6,7,4,8,9,7,4,5,9,8,8,6,7,10,10,2,1,2,1,1,2,2,1,24,I think it is about vaccine rates and trust,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,1,1,1,6,10,10,10,6,10,9,1,6,1,10,1,10,10,2,6,6,10,8,1,1,3,2,,1,,26,Desire to get a vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,5,9,4,2,6,7,8,5,6,2,7,6,1,7,6,8,7,5,7,9,8,5,4,2,1,2,2,1,,25,A study on people's thoughts on vaccines.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
96,10,10,10,7,10,9,10,8,9,8,9,10,6,9,8,10,10,7,10,10,10,5,6,7,1,2,1,1,,24,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,9,8,5,9,8,10,4,10,4,10,10,8,8,10,7,4,2,2,10,10,6,1,10,7,3,3,,7,,24,HPV vaccine ,Control,Get vaccinated against HPV today.
41,7,9,5,5,7,7,7,8,7,8,8,8,6,7,9,8,8,6,8,8,8,6,7,7,1,1,1,2,1,19,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,9,9,7,8,8,8,7,8,7,9,9,7,9,8,8,6,8,8,5,7,7,9,8,8,1,2,1,2,1,19,vaccine's ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
23,9,8,4,5,2,6,8,2,6,4,8,9,7,9,6,7,9,5,7,10,10,4,7,2,2,2,,1,,19,,Control,Get vaccinated against HPV today.
25,7,9,10,6,10,10,9,10,10,8,10,10,4,9,6,10,10,2,10,8,10,2,5,4,2,2,,1,,22,,Control,Get vaccinated against HPV today.
52,4,8,7,5,7,7,5,7,5,6,6,8,4,8,8,8,7,6,9,8,7,4,2,1,1,1,1,2,1,22,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
31,7,9,10,6,8,9,10,6,5,4,9,8,2,5,2,7,8,2,6,7,8,7,4,1,1,1,1,2,1,22,I think it is about the opinions and views on vaccines that deal with an intimate part of our lives,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
40,7,10,6,2,8,8,7,8,7,7,9,8,1,10,9,9,8,2,8,10,10,2,8,2,2,2,,1,,20,Maybe variables that effect people's perceptions of the HPV vaccine.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
80,8,9,7,4,10,7,10,2,6,4,7,9,1,6,6,10,8,2,9,10,10,1,6,4,1,1,2,1,,23,To see what people's perceptions are about vaccines after reading positive information about them. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,6,9,8,5,10,7,10,5,9,6,10,9,6,8,4,10,9,6,9,8,7,8,8,5,2,2,,1,,20,"HPV, and opinions on vaccinations.",Other-Oriented,Protect your partner. Get vaccinated against HPV today.
65,6,9,7,4,6,9,7,8,7,4,8,7,4,7,8,7,8,4,8,7,7,6,1,8,2,2,,1,,21,,Control,Get vaccinated against HPV today.
33,4,7,8,4,5,6,9,4,9,2,8,7,1,5,4,8,10,1,8,9,8,7,2,1,3,2,,1,,26,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
35,8,9,10,6,10,7,9,4,8,2,10,8,2,8,5,7,7,1,7,8,10,1,4,4,1,1,2,2,1,26,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
20,9,7,5,2,6,5,4,7,5,8,8,8,5,7,2,8,6,5,8,7,8,1,4,5,1,1,1,5,1,25,Wether we trust vaccines,Control,Get vaccinated against HPV today.
64,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,1,2,2,,1,,19,Interesting,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
70,8,8,8,7,7,8,8,7,6,7,7,7,6,7,8,7,6,6,8,7,8,8,9,8,1,1,5,5,3,24,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
40,7,9,8,2,10,8,9,8,10,9,8,9,8,9,10,9,9,8,10,7,10,2,4,1,2,2,,1,,22,Study is about the HPV vaccine and how likely we are to get it based on our demographics.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
50,8,9,8,4,10,6,7,2,8,4,8,7,1,8,7,9,7,2,6,7,9,4,5,2,2,2,,2,1,25,it was diferent than the others.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
70,7,8,5,9,9,10,10,10,9,10,9,8,2,10,8,9,10,6,9,10,10,5,4,1,1,1,1,2,1,26,Getting people's perception on whether or not they'd take the HPV vaccine and then finding out their values and if it correlates to their choice to taking the vaccine.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
70,6,8,5,4,9,9,8,6,7,4,10,8,6,8,4,7,8,4,8,10,9,6,1,7,1,1,1,2,1,24,general vaccine willingness,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,9,9,7,6,8,8,6,5,5,6,5,8,1,9,2,8,7,6,8,2,6,1,7,2,3,2,,1,,26,Opinions on vaccines in general.,Control,Get vaccinated against HPV today.
35,9,9,5,4,8,9,9,7,6,10,7,8,6,8,8,9,8,4,8,8,9,5,4,8,1,1,1,1,,26,Determination of trust in HPV vaccine,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
80,10,8,7,8,10,10,10,8,7,7,10,7,8,8,5,8,8,10,9,8,8,2,6,7,1,1,1,2,1,20,,Control,Get vaccinated against HPV today.
10,7,9,8,7,10,8,9,8,9,8,9,7,5,9,8,9,9,5,9,9,10,2,4,4,1,2,1,2,1,20,Raising awareness towards HPV,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
46,8,8,6,7,9,9,7,8,7,9,7,7,7,6,8,8,6,6,6,8,7,6,6,6,1,1,2,2,1,26,Acceptingness to vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
75,2,9,7,8,6,9,5,4,9,5,7,9,1,8,4,9,8,2,10,6,8,2,4,2,1,1,3,1,,26,Our opinion on the HPV vaccine ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
10,8,7,6,2,8,7,8,8,2,4,7,6,8,5,9,6,7,7,6,8,8,8,5,2,2,2,,1,,22,Attitudes towards HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
10,10,7,7,9,8,9,8,10,8,9,10,10,9,10,10,10,9,9,9,10,9,6,9,10,2,2,,1,,19,N/A,Control,Get vaccinated against HPV today.
50,4,8,6,2,8,10,8,6,9,6,10,10,1,9,8,10,10,2,10,8,10,1,6,1,3,3,,1,,24,To see how people feel about the HPV vaccine,Control,Get vaccinated against HPV today.
24,5,7,6,2,9,8,9,7,7,4,6,6,1,10,2,9,9,4,7,6,8,2,5,1,1,1,1,1,,24,Not sure!,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
80,7,10,8,1,10,9,8,9,7,5,10,8,2,5,4,10,9,5,6,9,10,7,1,6,2,2,,1,,24,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
51,8,9,6,6,10,10,6,10,8,9,10,10,10,7,10,10,10,9,7,8,10,10,6,7,1,1,3,2,1,23,How vaccines affect people ,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
49,8,7,9,7,9,9,7,9,10,8,10,9,7,8,10,10,10,6,10,10,7,7,9,10,1,1,2,4,1,23,Understanding peoples reasoning for being against vaccines like the HPV one.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,8,10,7,4,8,7,6,6,7,8,7,9,2,5,6,8,7,2,6,6,8,4,5,2,1,1,3,4,1,25,People’s aversion towards vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
20,8,10,7,9,9,8,6,5,9,10,9,9,5,7,8,7,9,8,7,8,8,9,8,7,2,2,,1,,19,Thoughts on the HPV vaccine and values,Control,Get vaccinated against HPV today.
20,8,9,8,4,7,9,8,6,9,7,9,8,4,8,7,7,10,5,8,8,7,2,2,4,1,1,1,2,1,25,unsure,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
0,6,2,2,5,4,5,4,2,2,2,4,5,4,6,6,4,4,4,5,5,4,4,6,4,2,2,,1,,21,HPV Vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,6,8,7,6,9,5,5,4,4,2,8,10,1,6,5,9,9,2,8,7,10,2,5,4,1,1,1,2,1,26,HPV and HPV vaccination study,Both,Protect yourself and your partner. Get vaccinated against HPV today.
30,9,10,9,8,10,9,9,8,9,9,10,10,6,8,9,9,10,4,7,8,9,10,10,6,1,1,1,2,1,22,seeing our honest views on it depending on whether we have had sex or not,Control,Get vaccinated against HPV today.
27,10,9,2,5,7,10,6,10,7,10,5,7,5,9,9,6,6,9,7,7,10,10,5,4,1,1,1,2,1,20,Evaluating an individual's inclination to vaccination in relationship to their values.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,9,8,10,6,9,10,10,9,8,7,9,10,2,9,5,9,8,4,8,7,6,2,8,2,2,2,,1,,24,It is about the efficacy of vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,10,10,5,10,6,10,1,10,1,10,7,10,10,6,10,7,6,10,4,10,1,10,1,10,1,1,1,1,,26, ,Control,Get vaccinated against HPV today.
20,9,7,6,6,8,10,6,7,2,8,6,7,4,5,6,8,6,7,8,7,2,6,5,2,2,2,,1,,20,How to increase acceptance of the HPV vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
21,8,5,8,7,9,8,7,6,9,9,7,6,7,4,6,6,4,8,5,7,5,6,4,6,1,1,2,1,,23,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,4,9,8,6,8,8,6,8,7,9,8,8,4,9,6,8,7,8,8,7,8,6,4,2,2,2,,1,,19,How different messaging can make people more trusting of vaccines. ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
10,8,9,6,8,6,8,8,9,7,9,9,9,6,9,9,7,9,6,9,10,6,4,6,6,1,1,2,2,1,20,Willingness to get vaccines.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
32,1,2,6,5,4,1,5,7,10,2,1,7,5,10,4,6,8,1,9,9,10,5,2,5,1,1,1,2,1,20,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
49,8,9,8,4,10,8,9,6,6,4,7,9,8,7,7,10,8,7,6,8,8,7,7,8,1,1,1,2,1,23,Unsure,Control,Get vaccinated against HPV today.
40,9,9,7,8,10,9,9,10,10,10,10,10,7,10,10,10,9,8,10,10,9,10,10,10,1,2,1,1,,19,If i think vaccines are safe to take,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
5,8,10,9,5,8,10,9,7,10,4,9,8,2,10,5,7,8,5,8,6,10,2,5,6,1,2,1,1,,24,See how likely someone would be to get an HPV vaccine after learning more about them and about their opinion on vaccines and healthcare in general.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
30,10,9,9,6,10,7,7,9,9,8,10,10,2,7,6,9,8,5,9,7,8,10,10,9,1,1,1,2,1,26,To relate how someone sexually active who is or isn't in a relationship to how trustworthy they believe the HPV vaccine is,Control,Get vaccinated against HPV today.
5,8,9,8,8,10,9,8,9,7,7,10,7,6,9,8,7,9,7,7,10,9,7,5,5,2,2,,1,,20,,Control,Get vaccinated against HPV today.
0,10,8,5,7,9,8,10,10,8,6,8,7,4,8,8,9,8,5,8,10,6,4,8,6,1,1,2,2,1,19,How people perceive vaccines.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
40,1,8,10,7,10,9,9,2,10,4,8,7,1,9,5,7,8,4,6,5,10,1,2,1,2,2,,1,,25,hpv vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
10,7,9,7,8,9,5,8,9,6,10,10,10,4,5,6,9,9,4,4,10,10,1,1,2,1,1,1,2,1,25,The dangers of the HPV disease and why you should get vaccinated ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
10,10,10,5,5,6,6,4,8,7,6,6,7,7,8,8,6,7,7,6,7,8,4,5,5,1,2,4,1,,24,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
60,2,5,7,8,1,4,7,6,9,6,4,5,10,9,7,5,8,9,4,2,5,7,6,5,1,1,4,1,,23,Likelihood of people getting HPV vaccine.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
19,6,8,7,2,8,7,7,8,8,8,8,8,2,8,8,8,8,2,7,8,8,4,6,5,1,1,1,2,1,23,relationship between attitudes towards the HPV vaccine and personal values,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
75,5,4,6,1,10,10,10,10,10,10,10,10,2,8,8,10,10,4,10,10,10,1,8,2,1,1,4,1,,25,perception of vaccines,Control,Get vaccinated against HPV today.
66,8,10,6,8,10,9,9,5,8,2,6,8,2,8,6,9,9,1,8,8,9,2,1,5,2,2,,2,1,25,Opinions on on vaccines after priming?,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
70,9,10,10,9,10,9,10,10,10,9,10,8,9,10,10,10,9,10,9,10,10,10,9,10,1,1,1,6,3,25,HPV Vaccine,Control,Get vaccinated against HPV today.
19,2,7,9,1,7,8,7,1,1,5,10,10,1,9,7,9,10,1,7,10,10,1,10,1,1,1,2,1,,26,To see if i would get a vaccine based on information i was given. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
30,8,8,10,4,10,8,8,5,8,7,10,7,4,7,6,9,8,2,9,10,10,1,6,1,1,1,1,2,1,25,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
70,8,9,9,6,6,9,2,6,7,5,1,4,7,10,6,10,6,5,6,7,7,10,5,7,1,2,2,2,1,24,HPV Vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
1,10,9,6,2,8,7,8,7,4,2,8,9,1,8,4,8,7,4,9,10,9,1,2,1,2,2,,1,,22,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,6,8,8,4,8,8,9,6,9,9,10,8,2,7,10,10,10,6,7,8,9,5,9,2,1,1,1,6,1,25,HPV,Control,Get vaccinated against HPV today.
70,10,10,4,1,10,10,7,9,5,10,10,7,6,10,8,8,10,6,6,10,6,4,5,9,2,2,,1,,18,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
5,9,8,5,4,6,10,10,8,6,9,8,9,2,9,6,10,8,4,9,8,10,1,1,2,2,2,,1,,22,To see how people perceive vaccine information presented to them,Both,Protect yourself and your partner. Get vaccinated against HPV today.
75,5,10,2,2,7,6,9,6,7,4,9,10,1,10,9,8,9,2,10,1,10,1,4,2,1,2,2,1,,26,Trying to see how reading information on the HPV vaccine can influence people's willingness to get the vaccine in the future.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
60,9,7,6,8,10,10,7,2,6,4,8,6,1,9,8,7,9,6,7,9,10,4,5,2,1,1,1,4,1,20,Looking to see what demographics of people are hesitant about getting vaccines in relation to HPV,Control,Get vaccinated against HPV today.
0,8,10,10,9,10,10,10,8,10,10,10,10,4,9,7,10,10,7,10,10,10,8,10,8,2,2,,1,,22,Seeing the perception of effectiveness of the HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
5,8,7,7,5,8,8,6,5,5,5,6,7,4,6,5,7,7,4,6,8,7,8,6,2,2,2,,1,,25,To gauge public opinion on vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
30,5,4,6,5,10,9,7,4,5,5,10,9,1,9,4,10,10,1,10,9,9,5,9,2,1,1,1,2,1,25,I think the study is about people's perceptions towards the HPV vaccine.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,9,8,10,2,10,7,10,8,10,9,10,10,1,10,9,10,10,1,10,10,10,1,7,1,2,2,,1,,21,Not sure.,Control,Get vaccinated against HPV today.
40,8,5,10,4,9,9,10,6,9,8,9,9,2,7,5,10,10,6,8,7,8,4,6,2,2,2,,1,,21,The general public ideas on vaccines,Both,Protect yourself and your partner. Get vaccinated against HPV today.
82,8,9,9,6,9,8,10,5,8,6,9,9,4,8,8,9,9,2,9,5,9,4,8,2,2,2,,4,1,18,Thoughts on HPV based on varying factors,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
30,8,9,7,5,9,10,7,8,7,8,9,10,4,8,9,10,8,8,6,7,9,4,8,2,1,2,1,7,,22,I think that this study is about the general consensus regarding the HPV vaccine ,Control,Get vaccinated against HPV today.
50,8,9,7,4,9,7,8,7,6,6,9,8,2,8,8,9,8,4,7,8,9,2,6,4,1,1,2,6,1,26,To see what we think about vaccines.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
30,9,10,8,6,7,9,7,9,8,8,9,7,4,6,7,8,10,6,9,7,10,9,7,8,1,1,2,2,1,24,To find out our thoughts on the HPV vaccine,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,6,7,1,2,5,9,4,5,2,8,1,6,2,6,2,7,5,1,8,9,7,1,5,6,1,2,2,1,,25,Understanding how vaccine willingness is related to life-values.,Control,Get vaccinated against HPV today.
53,4,7,4,7,8,9,7,8,7,5,8,9,5,7,6,4,7,6,8,5,6,7,7,2,1,2,1,1,,20,Knowing and valuating the effects/benefits of getting an HPV vaccine. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,5,1,7,10,10,10,1,10,2,8,10,4,8,2,1,10,4,10,4,8,1,7,9,10,2,2,,1,,23,Opinion on vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,5,8,9,4,10,7,8,2,10,4,9,10,1,6,5,9,8,2,7,4,5,2,8,1,1,1,1,6,1,26,"I didn't know about the HPV Vaccine before, so it is useful information",Other-Oriented,Protect your partner. Get vaccinated against HPV today.
18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,,1,,22,To see what my thoughts are on the HPV vaccines when given information about it. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
