Progress,Duration (in seconds),Finished,UserLanguage,HPVVaccine_CR,PID,consent_agree,timer_control_First Click,timer_control_Last Click,timer_control_Page Submit,timer_control_Click Count,timer_selforothers_First Click,timer_selforothers_Last Click,timer_selforothers_Page Submit,timer_selforothers_Click Count,timer_both_First Click,timer_both_Last Click,timer_both_Page Submit,timer_both_Click Count,intention_likelihood_1,infotrust_1,vaxtrust_safe_1,vaxtrust_effective_1,vaccine_benefit _1,vaccine_risk_1,vaccine_worried_1,HPV_sideeffect_1,HPV_healththreat_1,HPV_infectionthreat_1,subnorm_people_1,subnorm_expectation_1,subnorm_want_1,becontrol_uptome_1,becontrol_control_1,becontrol_confidence_1,attention_check_1,comprehension_1,decision_rationale,general_attitudes_1,general_attitudes_2,general_attitudes_3,general_attitudes_4,general_attitudes_5,general_attitudes_6,general_attitudes_7,general_attitudes_8,AC_Qs_1,AC_Qs_2,AC_Qs_3,AC_Qs_4,AC_Qs_5,AC_Qs_6,AC_Qs_7,AC_Qs_8,AC_Qs_9,AC_Qs_10,AC_Qs_11,AC_Qs_12,AC_Qs_13,AC_Qs_14,AC_Qs_15,AC_Qs_16,AC_Qs_17,AC_Qs_18,AC_Qs_19,AC_Qs_20,AC_Qs_21,AC_Qs_22,AC_Qs_23,AC_Qs_24,sex_history,sex_active,sex_partnernum,relationship_status,rela_exclusive,age,ethnicity,education,occupation,income,suggestions,study_content,honest_check,Clicked1,Condition,CTA,Time_Amount
100,453,1,EN,,6400f6a85946c0c21ef7c5a9,1,,,,,,,,,0,0,89.905,0,1,3,2,1,1,36,2,3,2,2,2,1,2,7,7,4,5,7,"I'm happily married and will not engage in intimate skin to skin contact with anybody else so my risk of being infected with HPV is none. Because this is case, getting the vaccine without need for it only has the potentiality to give me unwanted side effects and nothing else.",5,2,4,1,6,3,2,2,8,7,8,7,8,9,9,8,8,7,9,8,8,9,8,9,8,8,7,8,6,7,9,7,1,1,1,6,1,24,1,2,1,3,,Vaccine hesitancy,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,443,1,EN,,5cfe91a931c8d200018fd824,1,0,0,45.657,0,,,,,,,,,30,6,6,6,100,0,1,1,1,2,2,2,2,2,7,1,5,7,"It's just unlikely that it happens. I suppose I would like to get it at some point, but in the next 3 months will probably not happen.",1,6,1,6,4,1,6,6,4,8,9,1,9,8,10,2,10,7,4,8,1,8,8,7,10,1,7,6,9,1,5,1,1,1,1,1,,22,3,3,2,5,,"Gathering data on people's opinions about HPV, HPV vaccines, and vaccines in general.",1,0,Control,Get vaccinated against HPV today.,30
100,979,1,EN,,63223d67d809b21ed459b259,1,,,,,0,0,56.14,0,,,,,50,4,4,4,70,68,4,4,3,4,5,5,5,2,6,3,5,5,13 million teens a year are infected with HPV. So although we can try to reduce the number it will never be zero. So I pit 50% because I think it will be reduced but not eliminated.,3,5,2,5,2,3,5,4,2,8,9,2,9,9,8,8,7,7,7,8,4,7,7,7,7,4,7,7,7,4,5,4,1,1,1,2,1,24,3,2,1,2,,,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,378,1,EN,,5f0e9896f5e4e11e12c8f5ac,1,0,0,40.82,0,,,,,,,,,5,5,5,6,61,36,2,2,2,4,4,2,3,7,6,2,5,7,I think there is a 5% chance that I would get the HPV vaccine in the next three months because I do not have a lot of contact with other people that would put me at risk for a HPV infection.  I think the chances of me contracting HPV are very small.,3,5,2,5,4,3,6,5,4,7,8,2,10,9,9,7,8,7,9,10,2,8,6,10,9,4,9,8,10,4,7,2,1,2,1,1,,24,1,2,1,3,,I think this study was about how people view HPV and the vaccine that can help with it. ,1,0,Control,Get vaccinated against HPV today.,30
100,640,1,EN,,5ffe97d636fe8d54580c662e,1,,,,,1.728,45.539,46.279,13,,,,,83,4,5,5,79,17,2,3,2,5,6,6,6,6,3,6,5,6,I see no reasons to not get the vaccine if I haven’t already been vaccinated,3,5,2,6,3,2,5,5,4,8,7,7,8,8,7,8,8,8,9,8,5,8,8,8,7,6,8,7,8,6,5,7,1,1,2,3,,20,1,2,2,3,,,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,423,1,EN,,628e987eb6b92cdc713ee965,1,,,,,,,,,32.502,114.936,116.391,8,56,4,3,4,18,42,3,3,3,3,4,4,5,4,4,4,5,6,I have never thought about this or heard about it and the information made it seem like a great idea to get the vaccine in order to prevent the cancer. I just don’t know of all the potential health concerns that may come with getting the vaccine ,4,5,4,4,4,3,4,3,7,6,6,4,8,8,8,8,7,6,9,7,7,5,6,9,8,8,5,6,5,6,7,8,1,1,2,2,1,22,1,2,6,3,None,Not sure ,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,238,1,EN,,5ddee8912e6c77e798b5882f,1,,,,,,,,,0,0,61.364,0,8,6,6,6,88,4,1,1,1,5,7,7,7,1,7,1,5,7,I simply think it is unlikely that I will get the vaccine in that time frame. I probably will not even go to the doctor.,2,5,2,6,2,2,6,6,8,8,7,7,8,8,9,8,8,8,9,9,5,9,7,8,9,6,8,9,9,9,8,5,1,1,2,2,1,23,1,4,1,5,N/A,Studying thoughts on the HPV vaccine.,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,460,1,EN,,62f406ea9d51a0dd13658afd,1,0,0,56.777,0,,,,,,,,,70,5,4,4,78,35,2,4,4,4,5,5,5,3,2,5,5,6,I would want to be safe from any virus or infection. I want to be safe and protected. ,3,5,2,5,4,2,5,5,8,8,7,8,9,9,8,8,8,8,9,9,8,9,9,9,9,8,8,8,9,9,8,9,1,1,1,2,1,22,5,4,2,1,,"How effective vaccines are, and how likely you would take it?",1,0,Control,Get vaccinated against HPV today.,30
100,291,1,EN,,62c9c0f4d7ea4a24b86d445d,1,,,,,19.037,42.092,45.993,9,,,,,36,4,4,4,86,19,2,2,2,3,6,6,6,2,6,2,5,5,because it said that basically everyone will get it at some point in their lives. so basically i feel there’s a 36% chance that within any given 3 months i could get it,4,4,3,4,3,2,4,4,6,7,7,8,8,8,8,8,8,8,8,8,6,7,8,8,8,7,8,7,9,8,8,7,1,1,3,1,,26,1,2,4,2,,getting people informed on the hpv vaccine ,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,354,1,EN,,6404a64d880bbe7ceaff2256,1,,,,,3.294,63.784,67.863,15,,,,,40,4,4,4,100,30,2,3,2,1,2,2,2,7,7,4,5,4,I don't have lots of sex partners so i am probably safer. I'm also exclusive with my partner. If I were to get it I would need more info,1,6,2,6,6,2,6,6,5,2,7,6,4,2,5,4,2,5,1,4,6,2,4,2,5,5,5,5,4,5,5,5,1,1,1,6,1,26,1,4,6,3,No,Vaccine ,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,631,1,EN,,63eeef6ad507a342b1b4e171,1,,,,,4.659,95.31,178.071,7,,,,,25,5,5,5,70,15,1,2,1,2,1,4,2,2,6,2,5,5,I am in college right now away from home and I'm pretty sure I won't be having sex in any way to receive any cancers from HPV so I can wait a while before taking the vaccine.,2,5,2,5,3,2,5,5,5,6,7,5,8,8,6,5,7,6,8,6,2,5,4,7,7,4,6,7,6,2,8,5,2,2,,1,,18,5,2,6,2,,I think the study is about the likeliness of people taking the HPV vaccine if they are afraid of it's consequences or are scared of vaccines in general and whether they will be likely to take one if they heard what good they do.,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,398,1,EN,,6353069d90846b240df0b431,1,0,0,52.904,0,,,,,,,,,0,4,5,5,10,30,2,2,1,4,3,2,3,7,7,2,5,4,I do not feel like it is necessary for me based on how I live so I would not risk getting infected.,2,6,1,6,4,2,6,6,10,10,8,5,9,7,7,10,6,8,9,10,2,9,7,8,9,9,9,10,7,1,6,4,2,2,,2,1,18,5,2,6,5,,about how different people have different views on hpv vaccines,1,0,Control,Get vaccinated against HPV today.,30
100,788,1,EN,,63e802622f8052bd67d6c5f0,1,,,,,66.901,68.742,69.931,2,,,,,0,6,3,3,70,11,1,3,2,2,1,1,1,7,7,1,5,7,I am young and have a strong immune system. I choose not to take these shots from negative news that I have heard from the vaccines.,3,6,3,3,5,3,3,4,10,9,9,9,9,10,1,10,10,10,10,10,8,9,10,10,10,7,10,7,10,4,10,10,1,1,4,1,,23,1,2,4,1,,,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,443,1,EN,,5fde6c73ad8fba6069f139ed,1,,,,,2.368,42.146,55.834,10,,,,,20,5,5,5,19,11,2,1,1,1,4,6,3,7,7,1,5,7,"I will probably get it at some point, but it’s very likely not to be in the next 3 months because im busy",2,5,2,5,4,4,5,4,7,8,6,5,8,10,9,8,10,5,6,2,1,4,8,7,9,5,8,6,7,2,5,4,2,2,,2,1,24,1,4,1,5,n/a,HPV vaccine acceptance,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,2712,1,EN,,611622ddd8be1ac51298cb89,1,,,,,0,0,178.73,0,,,,,100,5,5,5,100,6,2,2,1,1,7,4,5,2,4,1,5,4,It is a very important vaccine to protect me from a dangerous cancer that could occur through intimate activities. I would recommend myself to get this simply because of the severity of what could happen if I don't get it.,1,5,1,5,1,1,6,6,6,2,8,9,4,9,7,2,2,4,8,8,9,9,8,6,10,8,7,10,7,4,9,9,3,2,,1,,20,3,2,2,3,Thank you for letting me participate in this survey.,I assume it was about my thoughts on an HPV vaccine.,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,370,1,EN,,62e01fdb9adf283ff375724f,1,,,,,0.768,46.217,54.991,13,,,,,14,4,5,5,80,5,1,1,3,3,4,2,4,1,7,1,5,5,"I have been considering getting the HPV vaccine for the past year or two. However, I just haven't gone through with it because of the headache of having to possibly go through insurance, schedule doctor's appointments, etc. I know it would be good to get it, but the likelihood of me following through is fairly low due to the effort involved.",1,6,1,6,2,1,6,6,8,9,6,4,9,8,9,7,4,5,9,8,4,6,8,8,5,4,5,5,7,1,6,2,1,1,1,2,1,26,5,4,1,4,,Vaccine perception,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,1253,1,EN,,62e05742fafd80b3f0c2e20b,1,,,,,,,,,30.912,285.542,290.125,28,10,2,4,4,20,50,4,3,2,2,3,4,4,6,4,5,5,6,I am right around 10 percent likely to get the hpv vaccine in the next 3 months. This is primarily due to the fact that I don't really come in contact with anyone that has this let alone in an intimate way as the ones stated. Lastly i feel like those stats could have been accurate or they could have been swayed to alter my decision.,5,4,4,5,5,4,4,4,7,6,6,4,9,9,10,10,8,8,6,10,1,10,10,10,6,8,10,10,6,2,9,6,3,2,,1,,22,2,2,2,3,Na,Hpv and its vaccines,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,421,1,EN,,5ccc60abe787e000167f8143,1,1.835,86.142,88.459,5,,,,,,,,,40,4,4,5,92,17,1,2,2,4,7,6,4,7,1,7,5,7,I rely on rides for doctors appoints and due to my limitations travel is very limited. I also live with those who are against such vaccinations and they wouldn't willingly let me go knowing so. I also don't expect to be in any situations anytime soon where the vaccine would be relevant to me.,1,6,1,4,3,2,4,5,5,7,7,5,10,7,7,7,10,10,10,4,4,10,5,9,10,2,4,10,10,5,2,2,2,2,,1,,24,1,2,7,3,No commemts or suggestions. ,Vaccine attitude. ,1,0,Control,Get vaccinated against HPV today.,30
100,398,1,EN,,63d8442afe84af2aad662924,1,,,,,0,0,56.224,0,,,,,30,2,2,3,51,43,2,3,3,3,2,2,2,5,2,3,5,5,"This is the first time I am hearing about the HPV vaccine, so I would do my own research before actually getting it - for all I know it doesnt exist. I would consult a doctor and extensive personal research before doing so. If the data provided is accurate, then it would make sense to get it.",4,4,2,4,5,3,4,4,7,8,7,5,7,8,7,8,7,8,7,6,4,6,8,7,8,4,8,8,6,5,7,4,1,1,2,2,1,22,1,4,1,3,,HPV vaccine,1,0,Self-Oriented,Protect yourself. Get vaccinated against HPV today.,45
100,431,1,EN,,5db753692a16b8000b4d44f6,1,12.596,36.012,72.062,4,,,,,,,,,51,5,5,5,51,50,2,2,1,2,2,2,2,3,6,2,5,6,Because I’m not sure that I need it. I’m rarely in contact with people I don’t know. I barely go into the world.,2,5,2,5,4,2,5,5,4,8,10,6,8,9,10,2,9,6,9,10,1,8,9,10,9,4,7,7,8,2,6,8,2,2,,1,,23,1,3,1,3,,It is about the job vaccination and if you think it’s effective ,1,0,Control,Get vaccinated against HPV today.,30
100,643,1,EN,,60bbc6b04204fa15b8762a2c,1,,,,,,,,,4.101,75.184,76.984,8,1,5,5,5,79,38,3,4,2,4,6,6,6,2,2,5,5,5,I am not getting the vaccine in the next 3 months because I am not even sexually active. I see no reason to get it at this very moment if I am not even active.,4,4,3,4,4,3,4,4,9,9,8,9,10,8,10,10,10,10,10,9,5,8,6,6,9,7,9,10,10,8,8,4,1,2,2,1,,21,2,2,2,2,good study,HPV vaccine,1,0,Both,Protect yourself and your partner. Get vaccinated against HPV today.,60
100,410,1,EN,,640e54837a907926a3ee82aa,1,,,,,0,0,67.812,0,,,,,20,4,6,6,100,0,1,1,1,4,7,7,7,7,1,7,5,7,I am not currently involved in a sexual relation ship. Unless that changes in the next couple of months the vaccine does not seem necessary at this moment. ,2,6,1,6,3,1,6,6,9,10,10,6,10,9,8,9,9,9,10,10,1,10,8,10,10,6,9,9,8,5,9,2,2,2,,1,,24,1,4,6,3,,Likeliness of people to get a vaccine. ,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
100,366,1,EN,,5d6ab68809f9270001dac666,1,,,,,0,0,56.749,0,,,,,70,5,6,6,88,1,1,1,1,1,4,6,6,3,6,1,5,6,"I think it would be a good decision to get it but I also am bad at going to the doctor, so that is the only reason I didn't say 100%.",1,6,1,6,4,2,6,6,8,8,7,2,8,9,6,7,4,8,9,7,4,5,9,8,8,6,7,10,10,2,1,2,1,1,2,2,1,24,1,4,1,2,,I think it is about vaccine rates and trust,1,0,Other-Oriented,Protect your partner. Get vaccinated against HPV today.,45
